# Angle [degrees]   occurrence (total=49)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                            0
87.297297                            5
92.432432                            6
97.567568                            6
102.702703                            4
107.837838                            2
112.972973                            1
118.108108                            3
123.243243                            3
128.378378                            0
133.513514                            0
138.648649                            4
143.783784                            0
148.918919                            0
154.054054                            0
159.189189                            2
164.324324                            0
169.459459                            1
174.594595                            4
179.729730                            6
184.864865                            2
190.000000                            0
