# distance [Angstrom]   occurrence (total=637)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          113
1.014286                          155
1.066071                           16
1.117857                           18
1.169643                            9
1.221429                            6
1.273214                            2
1.325000                            9
1.376786                           12
1.428571                           10
1.480357                            9
1.532143                            1
1.583929                            0
1.635714                            6
1.687500                            4
1.739286                            0
1.791071                            2
1.842857                            3
1.894643                            2
1.946429                            2
1.998214                            2
2.050000                            1
2.101786                            1
2.153571                            1
2.205357                            0
2.257143                            0
2.308929                            1
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            1
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            1
2.775000                            1
2.826786                            0
2.878571                            7
2.930357                            5
2.982143                            8
3.033929                           15
3.085714                           47
3.137500                           50
3.189286                           28
3.241071                           27
3.292857                            8
3.344643                           16
3.396429                           16
3.448214                            7
3.500000                           15
